Sprint #,Sprint Name,Task ID,Task Title,User Story (short),Area,Type,AI/Non-AI,Risk,SP,Status,Start Date,Completed Date,Dependencies,Acceptance Criteria Ref,Tracker Notes (Dev Agent)
1,Workspace & Foundation,1.1,Wire Teacher app into workspace & gateway routing,Workspace: Teacher frontend/backend wired into monorepo + gateway,Workspace / Gateway,Hardening,Non-AI,Low,2,Done,2026-03-02,2026-03-02,None,Backlog § Task 1.1 Checklist,RBAC updated for Teacher+Admin; gateway proxy maps /api/teacher → :3003
1,Workspace & Foundation,1.2,Teacher backend skeleton (NestJS service),Backend: Teacher NestJS service skeleton with core modules,Teacher Backend,Feature,Non-AI,Low,2,Done,2026-03-02,2026-03-02,1.1,Backlog § Task 1.2 Checklist,Full NestJS skeleton: 7 modules + guards + filters + interceptors + Swagger + seeder
1,Workspace & Foundation,1.3,Teacher DB schema & migrations (core tables),"Data: core Teacher tables migrated (class, sessions, tests, etc.)",Teacher Backend — Data,Hardening,Non-AI,Low,3,Done,2026-03-02,2026-03-02,1.2,Backlog § Task 1.3 Checklist,12 entities + 6 repositories + dev seeder with test data (UID sync ready)
1,Workspace & Foundation,1.4,Shared contracts for Teacher APIs in @mindforge/shared,Shared: Teacher DTOs/enums in @mindforge/shared,Shared,Feature,Non-AI,Low,1,Done,2026-03-02,2026-03-02,1.2,Backlog § Task 1.4 Checklist,14 interfaces + 8 enums in shared/src/interfaces/teacher/
2,Class & Attendance Backend,2.1,"Class & timetable domain (class, sessions, mappings)","Backend: classes, sessions, student mappings for attendance",Teacher Backend — Class & Attendance,Feature,Non-AI,Low,2,Done,2026-03-02,2026-03-02,1.3,Backlog § Task 2.1 Checklist,9 CRUD endpoints: classes + sessions + student mappings via ClassController + ClassService
2,Class & Attendance Backend,2.2,Attendance mark entry APIs (per class session),Backend: mark attendance per session with default Present,Teacher Backend — Class & Attendance,Feature,Non-AI,Low,3,Done,2026-03-02,2026-03-02,2.1,Backlog § Task 2.2 Checklist,Default-Present pattern; mark absentees only; same-day edit window via editable_until
2,Class & Attendance Backend,2.3,Attendance aggregation & weekly absence alerts job,Backend: aggregate attendance + >2 days/week absence alerts,Teacher Backend — Analytics/Notifications,Feature,Non-AI,Medium,3,Done,2026-03-02,2026-03-02,2.2,Backlog § Task 2.3 Checklist,Daily/weekly/monthly summaries + >2 days/week absence → notification_event alerts
3,Syllabus & AI Ingestion,3.1,Syllabus upload API & storage,Backend: upload syllabus files to storage + metadata,Teacher Backend — Syllabus,Feature,Non-AI,Low,2,Done,2026-03-02,2026-03-02,1.3,Backlog § Task 3.1 Checklist,Multipart upload + file validation (type/MIME/size) + local FS storage + retry-failed endpoint
3,Syllabus & AI Ingestion,3.2,AI ingestion worker: OCR + concept extraction → lesson_session,AI: OCR + LLM to create lesson_session from syllabus,Teacher Backend — AI Orchestration,Feature,AI,Medium,3,Done,2026-03-02,2026-03-02,3.1,Backlog § Task 3.2 Checklist,PDF parse + OpenAI chat completions + fallback analysis + lesson_session creation + status tracking
3,Syllabus & AI Ingestion,3.3,Syllabus & lesson read APIs for frontend,"Backend: list uploads, concepts, objectives, flags for UI",Teacher Backend — Syllabus,Feature,Non-AI,Low,3,Done,2026-03-02,2026-03-02,3.2,Backlog § Task 3.3 Checklist,5 read endpoints: doc list/detail + lesson list/detail/by-document with JSON array parsing
4,Tests & Evaluation Backend,4.1,Test domain & authoring APIs (online + offline),Backend: test_definition authoring for quizzes & offline tests,Teacher Backend — Tests,Feature,Non-AI,Low,2,Done,2026-03-02,2026-03-02,3.3,Backlog § Task 4.1 Checklist,6 endpoints: CRUD + publish + close; online enforces MCQ/FIB/T-F only
